REGION,TOTAL_CASE_REGION,TOTAL_CASES_ACTIVE,TOTAL_CASES_RECOVERED,TOTAL_CASES_DIED,PROVINCE,CITY,LAST_14_CASES_ACTIVE,LAST_14_CASES_RECOVERED,LAST_14_CASES_DIED,POSIVITY_RATE,ICU,ICU_OCCUPIED,ICU_OCCUPIED_RATE,ICU_VACANT,ICU_VACANT_RATE,NON_ICU,NON_ICU_OCCUPIED,NON_ICU_OCCUPIED_RATE,NON_ICU_VACANT,NON_ICU_VACANT_RATE,MECHANICAL_VENTILATORS,MECHANICAL_VENTILATOR_OCCUPIED,MECHANICAL_VENTILATOR_OCCUPIED_RATE,MECHANICAL_VENTILATOR_VACANT,MECHANICAL_VENTILATOR_VACANT_RATE,FACILITIES,BED_OCCUPANCY_RATE,BED_OCCUPANY_TOTAL,BED_OCCUPIED,BED_VACANT,OCCUPANCY_SAFE,OCCUPANY_MODERATE,OCCUPANY_HIGH,OCCUPANCY_CRITICAL,CLUSTER
NCR,83457,117,82006,1334,CALOOCAN,CALOOCAN,84,294,0,0.142,35,6,0.1714,29,0.8286,322,136,0.4224,186,0.5776,68,4,0.0588,64,0.9412,13,0.39799999999999996,357,142,215,12,1,0,0,0.0
NCR,50702,34,50186,482,LAS_PINAS,LAS_PINAS,46,158,0,0.142,26,7,0.2692,19,0.7308,176,19,0.10800000000000001,157,0.892,32,1,0.0313,31,0.9688,10,0.129,202,26,176,10,0,0,0,0.0
NCR,83098,86,82341,671,MAKATI,MAKATI,95,269,0,0.142,37,20,0.5405,17,0.4595,68,27,0.3971,41,0.6029,54,8,0.1481,46,0.8519,3,0.44799999999999995,105,47,58,2,1,0,0,0.0
NCR,29910,30,29418,462,MALABON,MALABON,7,56,0,0.142,0,0,0.0,0,0.0,53,17,0.3208,36,0.6792,3,0,0.0,3,1.0,2,0.321,53,17,36,1,1,0,0,2.0
NCR,47693,43,47120,530,MANDALUYONG,MANDALUYONG,35,94,0,0.142,141,3,0.0213,138,0.9787,678,46,0.0678,632,0.9322,22,4,0.1818,18,0.8182,3,0.06,819,49,770,3,0,0,0,0.0
NCR,147610,187,145568,1855,MANILA,ERMITA,165,408,0,0.142,32,8,0.25,24,0.75,51,21,0.4118,30,0.5882,50,8,0.16,42,0.84,3,0.349,83,29,54,3,0,0,0,5.0
NCR,147610,187,145568,1855,MANILA,INTRAMUROS,165,408,0,0.142,3,0,0.0,3,1.0,12,0,0.0,12,1.0,2,0,0.0,2,1.0,1,0.0,15,0,15,1,0,0,0,5.0
NCR,147610,187,145568,1855,MANILA,MALATE,165,408,0,0.142,4,0,0.0,4,1.0,24,0,0.0,24,1.0,3,0,0.0,3,1.0,1,0.0,28,0,28,1,0,0,0,5.0
NCR,147610,187,145568,1855,MANILA,BINONDO,165,408,0,0.142,0,0,0.0,0,0.0,68,16,0.2353,52,0.7647,0,0,0.0,0,0.0,1,0.235,68,16,52,1,0,0,0,5.0
NCR,147610,187,145568,1855,MANILA,SAMPALOC,165,408,0,0.142,10,5,0.5,5,0.5,198,12,0.0606,186,0.9394,13,0,0.0,13,1.0,8,0.08199999999999999,208,17,191,8,0,0,0,5.0
NCR,147610,187,145568,1855,MANILA,SANTA_ANA,165,408,0,0.142,0,0,0.0,0,0.0,29,13,0.4483,16,0.5517,10,0,0.0,10,1.0,2,0.44799999999999995,29,13,16,2,0,0,0,5.0
